Review,Rank
최고급 식재료에 신파 맛 고추장 턱 하니 올려놓으니 영락없는 양푼이 비빔밥 ,1
무료티켓으로도 돈아깝다는 생각이 드는 영화. 신파에 무척 약한편인데도 이 정도의 억지 신파에는 오히려 눈물이 쏙 들어갈 수 있다는 경험을 선사해준 영화.. 중반부까지는 진짜 괜찮았는데 모든 캐릭터에게서 공감을 느낄 ...,2
,3
"중반부까지 8점, 후반부는 무리수 때문에 4점.. ",6
화면 연출만 기억에 남아요 ,4
김소진 배우님의 연기가 아주인상적입니다. 또 신파가..영화를 망친 느낌 ,6
"이동진 혹평리뷰영상 올렸다가 삭제되었다는 그 영화. 티켓값 15,000 ~ 22,000 국민소득대비 세계최대 수준으로 처올렸으면 가격에 걸맞는 작품을 내놔라. 실험적 드립,시원한 에어컨 드립 먹히는 시대는 지났다. ",1
"탁월한 전반부를 성공적으로 끌고나갈 힘이나 마무리가 부족했다. 전반부의 군더더기 없는 전개와 연기에서 오는 긴장감이 너무 좋아서 그런지 후반부 스토리 짜임새, 개연성이나 디테일적인 부분이 아쉬운게 더욱 부각되는 듯하...",6
중반까진 재밌었는데 후반이 조금 아쉬웠어요. ,7
초중반은 순항했지만 중반부터 영화도 테러를 당했는지 휘청휘청 ,6
딱 1시간만 볼만함후반부 갈수록 억지 신파개연성도 없고 배우들이 아깝다특히 임시완 연기 잘한다고는 생각했지만 빌런 연기 아주 지대로다.. ,3
신파...제일 싫어하는 요소 중 하나라서... 불호...배우진 화려해서 기대했는데 스토리와 연출은 전혀 취향이 아니었음 ,7
좋은 배우들+어정쩡한 신파= 추천하기 애매해짐 ,4
중반까지는 흥미진진했는데. 후반부가 조금 늘어지면서 많이 아쉽다. ,6
보통 재난영화에서 기대하는 적당한 신파를 넘어서는 주인공들의 선택이 불쾌하게 느껴졌어요. ,4
중반부까진 완벽한 영화후반부 계속 신파가 들어가는데 감동이 아니라 불쾌한 느낌 ,6
4DX로 관람했음 더 재밌을 텐데 그 가격 주고 bo기엔 아깝다 ,5
,5
억지눈물뽑아내는 영화. 마음이 식어버리는 건 순식간이었다. 억지신파 가득한 영화. 사람의 이기심에 대해 논하고 싶다는 감독의 마음이 왜 이런식으로 표현해야 했는지 너무나. 정말 배우가 아깝고 내 돈이 아깝고 두시간 ...,2
