Review,Rank
이제 마블이라고 관 많이 주는 것도 바뀌어야한다. ,2
나는 동성애에 대한 인식전환 강요를 받으려고 토르를 보러 간게 아니다. ,6
스토리가 별로예요:( ,5
B급감성 제대로라서 웃기고 재밌는데하필 마블이 만든 겉은 AAA 속은 B급이라 실망감이 없지않아 있음마블이라고 생각 말고 그냥 다른회사거라고 생각하고 보면 재미씀 ,6
아니 영화 조조 시간 끝나기도 전에 별점 반점 박는 애들은 뭐냐 ㅋㅋㅋ 꿈에서 보고 왔냐 보지도 않고 그냥 별점 테러하네 ㅋㅋㅋ ,10
왜 영화가 산으로 가버렸나?? ,1
토르가 지켜준 건 아스가르드와 내 지갑이다. 땡스 브로 ,5
호방한 토르를 기대했는데 유치하고 의미 없는 실망스러움만 남았다. 이 와중에 크리스찬 베일의 연기는 미쳤다. ,4
아 아쉽네요 그냥 애들 영화 같음 개그도 웃음코드가 안 맞는건지 그닥 별로 였음 베일 형님 때문에 1점 더줌 ,2
"다른건 모르겠고 크리스찬 베일연기잘함,미쳤음ㅋ ",8
볼만은 했는데 너무 가볍게 만들었다고 해야되나. 개그도 헛웃음 나오고... ,6
이런 만듦새로 무슨 자신감으로 남들 다주는 굿즈까지 꽁꽁 숨겨놨니 ,5
다른 하고싶은 말 다른 사람들이 다 했으니 됐고 빌런도 딸바보라 애들 좋아하니 그렇다치고 교묘하게 스며든 PC개념도 디즈니 행보 생각해서 그렇다 쳐도 왜자꾸 타율 낮은 개그를 남발하는건데 이건 그냥 장르가 코미디인거...,4
희극으로 전개하는 비극 ,6
정말..재미없습니다 손발 오그라드는 장면이 너무 많아서 2시간 내내 힘들었습니다 ,1
너무 B급으로 바뀐...토르.. ,5
점점 망해져가는 마블이 보인다 ,5
처음부터 끝까지 장난스럽기만 하다 ,4
타이카 와이티티… 이렇게 장점없는 감독 왜 계속 쓰이는지 모르겠네 또봇극장판 수준 이야기에 소품의상은 무슨 전대물 보는줄. 최종장 연출은 헛웃음만 나오더라그리고 엔드게임이후로 mcu 교통정리 손뗀거 알겠는데 이렇게 ...,3
"예고편을 안보고 봤으면 조금 나았을 듯한? 느낌예고편을 봐서 이미 웃긴 장면을 한번씩 보고 간 느낌이라 정작 극장에선 그렇게 웃기진 않았음,, 영화 끝나고 기억나는건 염소 울음소리 뿐,, ",2
