Review,Rank
다좋은데 외국어를 외국인처럼 구사하지 못할거면 그냥 한국인으로 설정했으면.. 그 상해 토우 4인방 중국어 듣는데 전공자로서 너무 오글거려서.. 굳이 중국인 설정했어야했나요? 중국인 설정 고집하려면 차라리 한국어가 서...,8
좀 너무 충격적.. 이렇게나 스토리가 없을 줄은 상상도 못했습니다.. 엔딩부분이 영화 중심에서 시작해도 모자랄 판에 다음 편을 노린다니.. 이건 돈주고 보기도 아까울 정도에요.. 별로임. ,2
"최강마녀 등장, 반가운 김다미. ",5
재미없어요우뢰매같이  스토리없는유치한 CG범벅 ,1
개그요소 있고 액셕도 즐거웠어요 답답한 인물이 있는데 그래도 재밌어요 ,10
영화보는 내내 지루했습니다그리고 누가 주인공인지 모르겠고저는 마녀 1을 통해 김다미 배우님의 연기와 액션을 보고 마녀2를  기대했던지라정말 많이 실망스러웠습니다 ,2
이게 뭔가 싶은 영화.. 1편이 훨씬 낫다 ,1
"중간에 극장에서 나오고 싶다는 생각은처음이네ㅋㅋ연기도 오글거리고,마트씬 최악 ",2
"1편을 본 사람이라면, 그리고 3편을 기대하는 사람이라면 충분히 흥미롭게 볼 수 있는 영화였다고 생각해요. 물론 좀 더 짜임새 있는 영화가 나올 수도 있었겠지만 워너랑 계약 문제도 있었고, 코로나도 직격탄으로 맞은 ...",10
1이 좋아서 2를 기대하고본사람으로서...실망이 큽니다...ㅠㅠ ,2
1편보다는 아쉬웠지만 다 보고나니 3편을 꼭 봐야하는 사람이 되어버림 ,7
후... 너무 난잡해요.. ,2
평점 낮은거보고 고민하다 봤는데 의외로 재밌었다. 히어로물 처럼 특수효과 좋고. 쓸데없는 욕설좀 줄이면 더 깔끔할듯. 비쥬얼 맛집 . 참!! 쿠키영상 꼭 보라고 얘기해주신분 고맙습니다. 끝까지 안나오길래 낚였나 했는...,10
왜 평점이 낮은거지? 이해가 안가네 ,10
방금 보고 왔는데 평점 왜이리 낮은지 진짜 의문임 ,10
1편이랑 비교하면 좀 아쉬워용~ 조금 더 유치해졌고용~ 하지만 저는 3편도 봐야겠어용 ,7
"1. 사람간 정,사랑,추억이 쌓였음을 표현하는 시간적 흐름연출이 미숙함. 2. 3d액션에 물리적 중력감을 3d로 표현못해서 너무 그래픽스러움 ",4
시간아까워 그돈으로 치킨사먹어 ,2
전 재미있게 잘 봤네요앞으로 시리즈들 쭉쭉 나와주길 ,9
액션은 전편보다 좋고 스토리는 조금 아쉽네요 ,7
마지막에 반가운 얼굴이 나오네요. 쿠키를 보니 벌써부터 마녀3가 보고 싶어집니다. ,10
근 5년안에 본것중 최악 ,2
전편보다는 스케일이 커진거 같은데 더 아쉽네요 ,9
3편으로 가기 위한 예고편 ,5
"스토리,캐릭터,설정 모두 최악 ",1
소문난 잔치에 먹을 것 없다. ,5
"극장을 뛰쳐 나가고 싶었다. 스토리랄게 없고, 액션만 남았다. ",3
마녀1보고 기대했는데 재미없었어요... ,2
마녀1보다 2가 살짝 덜 재밌지만 1이 워낙 강력해서..난 매우 재밌었음 3도 나오면 보러갈듯 ,10
무엇을 말하고 싶은지를 알 수 없는 영화 ,1
1이훨재밋긴했음. 2는 신시아라는 배우를 띄우기위해 너무과한 장면들이 많음. 전투도 너무 초사이어이느김이고.. 1은 자연스러웠는데 2는 과함.. 그래도 기대함 볼만했음. ,8
마녀3 언제 나와요?? ,7
재밌어요 액션도 화려하고 3편이 기대되네요 ,10
솔직히 이번 편은 3편 징검다리인 것 같아서 쵸큼 지루했습니다. 그래도 김다미&신시아 캐스팅은 참 좋네요. 3편 꼭 나오길 기원합니다. ,6
노잼초반에 보다가 잤어요 ,2
초반 조금 졸렸지만 마지막 폭풍 액션씬들 완전 취향이네요. 3편 기대 합니다. ,10
재미도 감동도 결말도 노잼... ,4
"4년 기다린 보람 있음, 액션씬 좋음, 왜 김다미 없냐 했는데 이유 나옴(부제가 답임), 어두운 영화 속 진구 뿌리기ㅋ, 짧은 김다미는 강렬했다.마지막 장면을 위한 빌드업 ",10
네이버는 얼른 단역 출연진들 명단도 리스트업 해주라. 토우 역할 출연진들 이름이 궁금하다!! ,8
"그냥 볼만한데 평점이 너무 낮아서 좀 올리려고 10점 줬어요. 1편 보고 재밌었으면, 따지지 않는 스타일이면 나름 재밌어요. 좀 오글거리는건 계속 있고, 초능력이 좀 넘사벽이되면서 중국무술영화보는거 같았는데 이런건 ...",10
"왜 평점 0점은 없는거야?3편을 위한 빌드업 인건가 싶은 스토리쓸데없이 난무하는 욕설, 중국어, 어설픈 영어 매우 귀에 거슬림그냥 나중에 ott에 풀리면 그 때 보는게 돈과 시간을 아끼는 길 아닐까 생각됨 ",1
음.. 마녀 1보다 훨씬 못함.의미있는 스토리 없음.두어번 나오는 진구 깨방정.재미없는 욕. ,1
이번 건 지루하다더라 라는 이야기 때문에 기대치를 낮춘 상태에서 봐서 그런가 오히려 무난하게 재밌었습니다. ,10
걍 중국영화임... 말도안되는 액션에 하늘 날아다니고 현실감 1도없고.. 엔딩도 진짜 하.. 마녀1에 비해 굉장히 실망했습니다 스토리도 별로고 ,1
기대 이상!3편 기대! ,10
액션은 재밌지만 스토리랄게 없다 ,6
쿠키영상이 본편이다. ,7
김다미 배우님을 위한 별점입니다 솔직히 3편이 더 기대되게 만드는 2편이었다고 생각해요 이종석 배우님 캐릭터랑 신시아 배우님 캐릭터가 아까웠고 중국 토우 얘들은 왜 나온건지 이해가 안됩니다 중국어 계속 들려서 너무 ...,5
1편이 더 재밌어요. 액션은 화려해졌지만 너무 빨리빨리 지나가서 보기 어려웠어요ㅜㅜㅜ마지막 구자윤 등장이 제일 임팩트 있네요 ,8
악플 많이 달려있길래 기대많이 안하고 봤는데 재밌게 보고왔어요 진구비중만 좀 줄이고 신예 여주 액션신 좀만 더 보여줬으면 좋았을것 같아요 ,9
어서 마녀 3편 주세요! ,10
네?네?네?네?허허 ,1
연기는 괜찮았으나 초반 1시간은 5분에 한번씩 씨땡이라는 욕이 나와서 정신이 지치고 용어들 이랄까 떡밥이랄까 보고나서는 의문만 들음 하나라도 알려주고 끝났음 좋았을텐데 영화가 (서어어어론-ㅂ-결론!)이 나버린듯 졸려...,4
평점이 낮은 것치곤 나름 재밌게 본 영화 첨에 질질 끌긴 했지만 그것도 재미있게 질질 끌어서   좋았다 ,9
개OOO 뛰쳐나올뻔 내용없음 이걸 두시간반동안? ,1
액션 빼곤 노답이었음 ,5
0점이 없어서 1점 주고 갑니다 ,1
3편을 위한 빌드업 영화 ,7
마녀3 가기위해 숨 고르는 느낌의 영화 ,7
구자윤은 신이다.... ,10
서은수의 재발견 ,10
욕하는 ...장면들이나 ..스토리 부분도 좀 많이 아쉽긴했어요 워낙 마녀1이 기대가 많아서 그랬는지몰라도 ....ㅠ ,8
진짜 3편 보기 위해서 봄 ,6
3편을 만들고 싶은건 알겠는데 2편이 내용이 없어요 ,4
