Review,Rank
완벽 그자체인 영화. 연기연출노래 너무 좋았어요. 2022 3대장 엘비스 탑건 헤어질결심 ,10
엘비스 전혀 모르는 세대도 완전히 빠져들 수 있는 강추 영화 ,9
별이 10개는 너무 부족하다 올해 탑5안에 들영화... 상영관이 너무 안타깝다 ,10
오스틴 버틀러의 접신과도 같은 호연에 박수를 보낸다 ,8
엘비스를 연기한 오스틴버틀러 최고다 ,10
아카데미 시상식에서 보게 될 것 같네요 ,10
오스틴 버틀러는 엘비스 그 자체네요 너무 멋졌습니다 ,8
매니저는 화나고 가수는 완벽함영원한 슈퍼스타 ,8
좀 길어서 부담스럽긴 하지만 잘 만든 영화입니다. ,9
발 없는 새처럼 불꽃처럼 살다간 엘비스...화려하게 질주하는 영상미와 OST에 취한다 ,10
정말 꽉찬 영화! 그래서 좋았다 ,10
뭐...뭐지 이 영화. 엘비스도 엘비스를 연기한 배우도 잘 몰랐지만 어느새 빠져들었다. 상영관 좀 더 주십쇼!!! ,9
"바즈 루어만의 역작이다.로미오와 줄리엣,물랑루즈로 빌드업하고 터진 역작. ",9
"이게 엘비스 프레슬리다 이게 내 연예인이다 를 제대로 보여주는, 능력있는 팬 그 자체인 버즈 루어먼 감독과 거의 엘비스랑 접신한 오스틴 버틀러 연기! 이 두 요소만으로도 꼭 봐야한다고 생각합니다극장에서 보는 거 추천...",9
이름만 들어봤지 잘 몰랐었는데 전기영화로써 역할을 충분히 했다고 생각되고 그의 인생과 그 시대 풍경을 고스란히 느낄 수 있어 참 좋았습니다 러닝타임이 긴줄은 나와서 검색해보고 알았네요 ,10
"세상에 엘비스 프레슬리가 나오고 또 사라지기까지. 그의 빛과 그림자를 159분에 담아낸 바즈 루어만에게, 또 영원히 우리의 가슴을 흔드는 음악을 만들어낸 엘비스에게 경의를 표하며. ",8
눈과 귀가 즐거운 영화! 한번 더 보고 싶네요 ,10
엘비스 외모가 미쳤음 노래도 미쳤음 걍 다 미쳤음 젊엘비스만 따로 빼서 보고 싶을 정도임 ,10
이게 한국에서 10만을 넘기니 마니 할 수준의 영화가 아님. 이 영화의 존재조차 모르고 넘어가는 한국 관객들에 대한 영화관들의 기만임. 2시간40분이라는 긴 러닝타임에도 불구하고 시간순삭 개존잼입니다. 배우들 연기력...,9
훌륭한 영상미 ,7
"양질의 전기 영화, 화려한 음악 영화! 재미와 감동 모두 잡았다 ",8
2022년 최고의 영화.. 나를 갑자기 그 시대 사람으로 만들어버리는 놀라운 흡입력 .. 말이 필요없다 그냥 봐야함... ,10
배우가 엘비스 그자체임 ,8
내 20대 동년배들 이 영화보고 다 엘비스 좋아한다...관있으면 제발 봐주세요.... 이대로 떠나갈 영화가 아닙니다 ,10
"엘비스를 연기한 배우가 엘비스 젊은시절만큼 매력적입니다 . 추억 어린 엘비스의 노래도 좋았고 격정적인 몸짓,춤, 모두 좋았습니다.영화 끝나고는 가슴이 먹먹하고 , 엘비스가 그립네요 ",10
약 세시간의 러닝타임이 30분처럼 느껴졌다 ,8
엘비스 프레슬리에 대해 모르고 갔다가 팬이 되서 나왔음 러닝타임 길다고 해서 걱정했는데 끝나고 나니 너무 짧은 느낌 ,10
저는 너무 재미있었어요 ㅠㅠㅠ 귀호강했습니다 노래들도 영화로 잠깐이나마 나와서 반가웠습니다 ,9
엘비스의 음악과 팬에 대한 사랑이 존경스러워요 ,10
우리가 사랑 없이 무엇을 할 수 있을까. 시대가 기억할 그 이름 엘비스! ,9
정부에선 선악과였지만 대중들에겐 프로메테우스였던 엘비스 프레슬리 ,10
"엘비스 시대는 아니었지만, 그의 명성에 맞는 연출력과 음악의 아름다운 조합, 특히 엔딩이 너무나 감동적이었다. ",10
감독이 감독인지라 듣는 귀 보는 눈은 진짜 화려합니다에미넴이나 스티비 닉스 라든지 익숙한 목소리도 많이 나오고 다만 러닝타임이 3시간이라 엉덩이가 좀 아파요ㅋ그래도 재밌습니다 ,9
사운드 특화관에서 봐야 그 진가를 발하는 영화!! 주인공 역할 맡으신 배우분 연기 미쳤더라고요 ,9
"엘비스 남자주인공, 첨 보는데 연기 정말 잘하고, 노래도 엄청 잘해서 멋졌다. 톰행크스 연기는 역시 명불허전!!! ",9
맙소사. 이 영화를 이렇게 일찍 내릴수는 없다. 이렇게 영화다운 영화오랜만에 본다. 탐행크스는 연기신이다. ,10
