,comment
41,누구보다도 올원님이 유명해지길 바라는 구독자중 한명입니다  영상 조회수 좋아요는 알고리즘 노출이 무엇보다도 중요합니다  대형 채널 또는 편집자들은 알고리즘 노출을 위해 엄청난 노력을 하고 있는걸로 알고 있고요  올원님 분석력은 타 채널에 비해 넘사벽이라고 항상 생각하고 있었지만 조회수가 낮다는것에 저도 공감하는 바입니다  그래서 해당 채널이 알고리즘에 노출되었으면 하는 바램이 간절하네요
42,알면 알수록 신기한 마블의 세계
43,  올원님 힘내세요  년간 양질의 영상 아주 잘보고있는데 혼자서 이런영상을 만드시는데 이렇게 많은시간을 투자하시는지 몰랐네요 응원합니다 꼭 잘됐으면 좋겠어요
44,여러분들의 좋아요와 댓글이 알고리즘에 도움을 주니 앞으로 선좋후감을 조금씩 실천하는 시청자가 되도록 노력해보아요   
45,구독이랑 좋아요 눌러라아    
46,저도 간간이 영상은 보면서 구독은 잊고 있었네요  평소에도 엄청난 정보력과 분석들을 보면서 영상에 엄청난 공을 들이시는 분 이라고 생각했습니다  그래서 영상도 채널이름을 보며 믿고 클릭했구요  이번 고민을 우연히 접하게 되었는데  구독도 안하고 좋아요도 안하고 이제껏 댓글 한번 단 적없는 저를 돌아보게 되었네요  절대 그만두지 말아주십시요  계속 양질의 영상을 만들어 주세요  이제껏 멀리서 봐왔지만 정말 응원하고 싶습니다  그 노력과 진심들이 보였으니까요  마블 팬인 저에게 항상 소중한 채널이었습니다  올원님의 영상은 항상 진실됩니다  힘내세요 올원님 
47,나 원래 댓안다는데 형꺼에 달아야겠네 댓글 이라도 늘려야 티클도 인기가 점점 있을거같아 진짜 올원 형꺼 보면서 미래를 내다봐도 다맞추는거라 너무 좋아했는데 제대로 더 좋아하고 좋아요 눌러야겠어     형 아프지말고 늦어도 몸 쌩쌩 할때 돌아와도 되니까 계속 기다리고 있을거야 제발 아프지말고 진짜 힘네  아자아자 화이팅      올원진짜원      
48,힘내세용  마블자체가 지금 하향세라 그런것도 있는듯합니다   조금 더 판을 키우셔서 마블이외의 리뷰나 분석영상같은건 어떠신지용 
49,안녕하세요 저는 이준우입니다  항상 채널 잘 보고 있고 마블 영화 볼 때마다 너무 많이 도움되고 있습니다  올원 님의 채널을 좋아하는 만큼 어떤 결정을 하시더라도 끝까지 챙겨볼게요  항상 좋은 영상 만들어주셔서 진심으로 고맙습니다  
50,저기요
51,소리소문 없이 사라지시면 진짜 울겁니다 저  
52,개인적인 생각 워너비 로는 머독은 안나왔으면 좋겠고 캉에 대해서 멀티버스랑 연계해서 보여줬으면 좋겠음       지금 뉴페이스빌런 캉하고 직접적으로 연계된 옴니버스가 앤트맨 제외하면 로키밖에 없고 간접적으로는 닥스밖에 없어서 나중에 뜬금 어거지로 모든 캐릭터들을 한페이즈안에 우겨넣을 가능성이 매우 높음      지금 마블디플이 하는 꼬라지보면 충분함     그 근거가 추후 나올 판타스틱 와 닥터둠인데 고작  시리즈만으로 연계하기엔 너무 어거지 분량밖에 안됨     로키 를 감안하면 적어도  에 이와 연계되는 다른 캐릭터들이 적어도  명 이상은 나와줘야 어벤저스가 이해되는 그림이 나옴 
53,오 보셧구나
54,페이즈         
55,개인적으로 마블에서 앤트맨이 제일 재미없음
56,마블 드라마 챙겨보는 것도 지치는데  올원님 리뷰는 가뭄에 단비인 것 같아요 심적으로 힘드시겠지만 조금 더 볼 수 있었으면 좋겠네요 화이팅입니다  
57,근데 모독은 캡아 윈터솔저에 나온 인공지능이 원작에서도 모독인데 그건아닐꺼같은디 
58,목소리가 너무 졸려서  분이상 못듣겠어요    죄송
59,아 유튜브 뭐하냐 알고리즘 좀 띄워라    이분은 돈 더 벌어야해 
60,농담이 아니라 진짜 마블 다루는 채널 중에 올원님이 제일 좋아서 항상 올원님만 기다렸어요 다른분들 영상도 좋지만 저는 올원님이 제일 좋아요 군대에서도 올원님 영상을 계속 즐겨보았어요 물론 건강이 우선이기때문에 올원님이 먼저예요  항상 좋은 영상 감사합니다    아프시면 꼭 쉬세요
61,올원채널님 마블의 큰그림 가설 너무 감명깊게 보았습니다  행복회로 돌리자면  대 아이언맨이 할리 키너가 아니라 생뚱맞게 흑인 여자가 된 이유도 나중에 어벤져스 시크릿 워즈에서 지구       는 할리 키너가 아이언맨이고 지구    은 흑인 여성 친구가 아이언맨 구도를 보여주지는 않을까요    
62,그동안 올리셨던 영상들 좋아요가  천 넘은적이 없던거같은데 오늘 올리신지 몇시간 안되어서  천개 넘어서 너무 기쁩니다     올원님 앞으로 계속해서 유일무이한 마블 정밀분석채널로 남을 수 있도록 여기 들어오시는분들 모두 영상올리실때마다 좋아요 꼭 눌러주심 좋겠습니다     좋아요 눌리는거  초도 안걸리니 들어오심 일단 좋아요부터  
63,  여기만큼 정보 지대로 된도 없는듯
64,그리고 잊혀진 고스트
65,믿고 보는 올원님    그동안 고민이 많으셨군요     올원님은 제일 좋아하는 마블 채널입니다  성실함과 뛰어난 분석력으로 덕분에 마블영화를 몇 배는 더 재미있게 볼 수 있게 해주셨어요  언젠간 더 많은 사람들이 올원님의 진가를 알게 될 날이 올거라고 믿습니다  항상 응원합니다 
66,                                                                           현대자동차가 아직도 앤트맨에는 협찬중인가 보네요       앤트맨 영화에서는 벨로스터가 나오더니 이 장면에서는 와스프가 현대 싼타페를 타는군요 
67,열심히좋아요누르겠습니다 
68,근데 개인적으로 미첼카슨은 어떻게 되었을지 되게 궁금함 
69,항상 다른 채널과는 다른 관점으로 세세하게 분석해주셔서 재밌게 보는 한 구독자입니다  올원님의 고퀄 영상을 더 보고싶은 마음에 미천한 구독자로서 썸네일을 컨셉을 더 관심을 끌도록 바꾸는 건 어떨까요  갑자기 튀어나와서 이런말을 드려서 죄송합니다      올원님 더 보고싶습니다     
70,무띵이랑 콜라보 합방 한번 갑시다
71,이 채널이 제대로 심층분석까지 하는 채널이라서 저도 몇년전부터 구독하고 쭉 보고 있습니다  항상 응원하고 있어요  건강하십쇼 
72,진짜 양질의 채널인데 그에 비해 구독자 수가 너무 작아요    조회수도 그렇구요    하 답답하네요 
73,유출 어디서 볼 수 있음
74,어벤져스 는 앤트맨 쿠키에서부터 시작하겠네요
75,형 예전에는 여러 곳에 댓글들 보면 다른 마블유튜버분들의 내용만 언급됐었는데 요즘은 형의 분석 내용들도 많이 언급되더라구  요즘  일 영상에 많은 분석으로 힘들 것 같았는데   시간이면   형 본업이 따로 있는지 유튜브만 하고있는지는 잘 모르지만 매일 올 필요도  너무 자주 올 필요도 없고  바로바로 분석영상 안 올려줘도 되니까 형의 개인적인 시간도 보내면서 휴식을 좀 취했으면 좋겠어  일어날때 힘이 없고 손까지 떨린다면 정말 힘들다는 거고  그 일을 알리기까지 정말 힘들었을텐데 알려줘서 고마워 형  우리 아무도 어디 안 가니까 형도 건강 챙기고 천천히 와 형  우리 오래오래 보자 형 
76, 슈퍼수 엌    
77,     왜반말인데 
78,빌 머레이가 원오브올로 나오는게 아닐까 
79,항상 잘 보고 있습니다 
80,타임스톤으로 만약 채널개설전으로 돌아가신다면 이 채널을 안만드실껀가요    만약 그렇다고 한다면 접는게 맞을수도 있겠죠    하지만 누구든 어떤일을 하든간에 흔히 말하는 현타는 옵니다    그게 꼭 돈을 잘벌고 못벌고를 떠나서요    그렇다고 제발 이 채널을 떠나지말아주세요    이런말은 아니구요    올원님의 타임라인은 올원님이 만들어가시는거니까요    어떤 선택을 하시든 항상 응원하는 구독자도 있다는걸 알아주시면 좋겠네요
81,앤트맨에서 새로운 최종 빌런이 나온다 해서 바로 영상을 찾아보게 됐습니다  다른 영상들 보다 설명이 잘되어 있었어 너무 좋았습니다  말씀해주신대로 영화가 개봉을 하면 엄청 재미있을것같습니다  감사합니다 
82,아마 이번 영상의 댓글들은 모두 볼 것 같아 남깁니다  일단 그동안 영상들만해도 정말 저에게 많은 즐거움과 지식을 주어서 먼저 정말 감사드린다는 말부터 드리고 싶습니다     다만 올원님의 현타는 조금 다른 방향인것을 말씀드리고 싶습니다  타 채널들과의 비교란 다른 마블 리뷰어들 삐맨  무비띵크 등 과의 비교를 의미하신다 생각하는데  당연히 올원님의 영상이 내용면에서 훨씬 충실한것은 맞습니다  다만 사람들이 원하는 수준의 영상은 그들의 것일겁니다  이건 영상의 수준을 얘기하는게 아닙니다  이렇게 마블을 깊게 분석하는것에 대한 얘기입니다  축구 해설을 말을 재밌게 하는 사람과 축구 지식이 많은 사람 둘 에게 각각 시키면 아마 대부분의 시청자들이 말을 재밌게 하는 사람의 해설을 보게 될 겁니다  대부분의 사람들에겐 깊은 축구지식보다는 재밌는 해설이 선호도가 높을 것이기 때문이죠  이건 올원님의 영상이 재미없다는 뜻이 아닙니다  마블 리뷰 영상들 중 올원님만큼 깊은 분석의 영상을 선호하는 시청자들이 단순히 적다는 걸 말씀드리고 싶은겁니다  다시 한 번 저는 그동안 영상을 잘 봐왔고  그것에 대해 감사드리고  언제일진 몰라도 마지막 영상까지 쭉 볼 예정입니다  다만 올원님의 진심어린 글을 보고선 저도 진심으로 올원님이 원하시는바  잘 되시는 길을 찾길 원해서 글을 남깁니다  올원님의 영상제작능력  영상의 재미 정도  영상의 주기 이런것이 문제가 아닙니다  애초에 올원님만큼 깊은 분석을 좋아해 매번 찾아오며 영상을 시청할  그만큼 마블에 깊게 흥미를 가질 타겟들이 많지 않은것이 문제입니다  이 컨셉으로 충성도 높지만 적은 시청자들에게 후원을 받으시는 방법도      조금 더 얕게 다수의 시청자에게 접근할 수 있는 방법도  아니면 이 제작능력과 분석력 등을 다른데 쓰시는 방법도 올원님의 능력은 충분하시니 여러 방면으로 생각해 보셨으면 좋겠습니다      모쪼록 건강 조심하시고  앞으로 하시는 일 더 잘 되시길 바라겠습니다  항상 감사했습니다
83,         올원님 마음고생도 심하고 건강상의 문제도 있으셨군염      마지막이라고 생각하기 싫을정도로 계속 오래오래 보고싶은 사람이지만     몸 생각하시면서 천천히 올려주셔두 됩니다  건강이 먼저지요  올원님 편하게 쉬시면서 제작해주셔두 저희 올원님 팬분들은 언제나 기다리겠습니다  몸건강이 먼저입니다 올원님   
84,좋은 영상 만들어주셔서 감사합니다
85,마블 리뷰 채널을 여러개    보지만 그나마 가장 심플하되 설명을 장황하게 흘리고 뻔히 아는 내용 재탕하는 다른 내용보다 괜찮은 채널입니다    흔들릴수있을지언정 잘하고 있으니 넘어지지 말기 바랍니다    혼자 고독하고  남들은 어떻게 판단할지는 버티면 언젠가 빛을 볼수 있을겁니다    마블빠였던 제가 사실 요즘 슬슬 김이 빠지는 감이 있었지만    그게 올원님이 같이 빠질만한 상황은 아니라고 생각합니다    충분히 잘하고 있습니다 그러니 버티고 힘내세요
