,comment
535,영상 잘봤습니다   보스만의 빈자리가 크지만  그의 철학과 믿음이 이번 영화에 고스란히 담아 내줬으면 하는 기대감이  
536,무띵이형 미안해 너무 좋아서 구독 두번눌렀었나봐 다시눌렀엉 
537,다들 장난치듯 댓글 다는데    인간적으로 꾸준히 영상을 보는 구독자면 구독은 눌러줘야지   그래야 제작자도 힘을 내지
538, 이윽 구독 안하면 뭔데      구독자 아닌거냐     
539,무슨짓을 하든 그 사람 맘이지   다만   짓을 하면   인거고 양아치 짓을 하면 양아치 인거고   
540,구독하든 안하든 그건 그사람 맘이지 인간적으로는 무슨 
541,와칸다호에버는 블랙띵크 어때 
542,슈리 배우   암걸리네
543,슈리만 아니면됨  
544,와 칸다 뽀 에버 띵크     이 범베띵크
545,하이
546,표범띵크 드개쟤 
547,호랑이띵크 하자      
548,난 형 인스타도 팔로우함
549,바꿔도될거같은데
550,와칸다띵크 
551,     블랙팬서 와칸다 포에버     는 네로띵크 어떨까요     블랙팬서가 검은 고양이 같은 느낌이 드니까 노래에서 따와서 네로띵크       좀 그런가   
552,                                                                           슈퍼로봇대전 시리즈 같은데     시리즈 중에 어떤건가요 
553,영원띵크    
554,구독하던 사람들까지 구독 한번 더 누르게 만들만큼 구독에 진심인 유튜버
555,                                                                                    순간 돌아온 자아              
556,누가 저대신 구독좀 눌러주실분  
557,흑표띵크
558,형 블랙팬서는    범배띵크로 가자
559,팬티띵   아니 팬서띵크 
560,은가누가 연기만 배우면 되겠다
561,띵크칸다
562,범배띵크로 가자
563,세계최고의 과학기술을 자랑하는 와칸다가 백신을 거부하네     얘도 멍청한 한국아줌마처럼 물백신  이러고 다니나     우리도 외국처럼 백신 안맞으면 벌금 몇백만원 때리고 해고하고 입국금지하고 그래야는데    백신 없다고 즤랄할때는 언제고 지금은 백신 안맞을 자유를 달라고 즤랄발광을 하니   
564,아이언하트  안봐 
565,                                                                             와뽀띵크
566,어우 형 영상 맨날 추천에 떠서 당연히 구독한 줄 알았는데 아니었네   오늘 누르고 갈게   찡긋 
567,블랙팬서 아줌마 진짜 압도적이다  
568,너무 캐릭터가 많아지는 건 바람직하지 않은 것 같은데 
569,와뽀띵크  
570,검은사막 각성 발키리 많관부
571,                                                                           표범띵크   
572,다양성을 반영하고자 수산물 시장 소피아 아줌마를 새 블랙팬서로 캐스팅 했습니다
573,백신 맞던 말던 자기 마음이지 그게 왜 트롤임   개인 선택을 무시하고 방역이랍시고 말도 안되는 억압과 차별이 트롤이지
574, 빈흑 쿵쾅 
575, 빈흑        이유가 
576,페미세요 
577,발키리 부활시키는 능력     그럼   아이언맨 돌아  오냐  
578,블팬 띵크
579,와칸띵크   
580,솔직히 채드윅 빈자리를 완벽히 채울 수는 없고    적당히 스토리만 이어간다고 생각하고 보기로    
581,와칸띵크
582,스파이더맨은 스파띵크    닥스는 오이띵크    블랙팬서는                    팬서띵크인감    
583,와포띵크   
584,와우 난 그래도    안에 드는 사람이구낭
585,와뽀띵크   
586,블랙띵크 어때 형
587,형 나 형영상 하루  번 보는데 아침에  번 구독 누르고 저녁에  번 구독 누르고 있어   번씩 여러영상 많이 눌렀어  
588,진짜 네이머 등장해서 수장된 킬몽거 살리고 같이 와칸다 공격하다 티찰라 생각때문에 다시 턴힐해서  대했으면 좋겠다     블팬동생은 포스가 없어   
589,                                                                           백신안맞는게 트롤짓    알고보니 뇌출혈이 문제였다는걸알면서도 트롤짓이라 하는거보니 백신미접종자를 혐오하는듯 자유를 강요하는 현 정부랑 똑같으시네요  국내 백신이상반응신고건수만   만 천건인데 이걸보도고 느끼는게 없다면  그건 인간이길 포기했다고 봄
590,오늘의 냥냥띵크
591,와   나형 영상본지 언  년된듯한데      아직도 구독안했어  뭐야이거 
592,극중에서 다른 메타버스의 에릭 킬몽거를 데려오자   
593,깜장띵크
594,채드웍 없으면    난 잘 모르겠다
595,와칸다 뽀에버는 표범띵크  
596,    구독 안하고 보던사람인데 매번 영상 앞부분에 너무 귀엽게 구독을 바라셔서 구독 하고 말았습니다
597,                                                                           범배띵크 어떠세요
598,냥이띵크
599,블랙팬서가  마블 세계관에선 필요한 존재이긴 한데     
600,형 와칸다 뽀에버   띵크 있자너 야옹띵크 어때 
601,형 블랙팬서     냥이띵크 어때  
602,표범띵크로 가즈아
603,범배띵크  
604,                                                                           나구나 바로 구독   
605,야옹띵크 가자 
606,아이언허트를 만들게 아니고    아이언맨  녀석이 이어받는게 서사가 맞는거 아니냐 
607,슈리가 블팬이 되는것도 나쁘지 않지만  편에서 티찰라가 죽은줄 알았을때 음바쿠한테 제안했던거 감안하면 음바쿠가 새로운 블팬이 될 수도
608,정글영원띵끄
609,마블소식은 언제나 기쁨   
610,팬더띵크
611,범배띵끄
612,    이정도면 해줘라 좀  
613,블팬띵크지 뭐긴 뭐야 형
614,불랙팬서에서 슈리는 엄청나게 똑똑란 캐릭터인데  연기자는 안티백신         정말 이율배반   
615,정보  발키리를 연기한 테사 톰슨은 양성애자이며  브리 라슨과 더불어 마블 배우중 유명한 급진적 페미니스트 중 한명이다        발키리가 양성애자이길 원한다고 인터뷰도 함
616,와칸다는 범배띵크 아니겠슴꼬  형님
617,형은 블랙띵크 어때요  
618,인피니티 사가 끝나고 계집년들이 다 주인공이네      그니까 다들 스파이더맨이랑 닥터 스트레인지만 존나 좋아하지
619,    
620,블랙띵크 불편해할수도 있음     블팬띵크   너무 단순함     와칸다띵크 세글자라 탈락     불판띵크  아몰랑 
621,구독없이 본다는게 더 신기하다
622,백신 미접종은 죄가 아닙니다 
623,와포 띵크
624, 흑범띵크 
625,채드윅 보스만 행님은 블랙팬서중 최고입니다
626,흑범띵크         그리고 발할라는 그리스신화가 아닌 북유럽 신화입니다 
627,범베띵크 가즈아  
628,블팬팅크  흑표띵크 
629,나도 수십수백억씩 벌어제끼는 헐리웃 배우였으면 백신 안맞음 
630,                                                                           냥이띵크  
631,                                                                           무띵                                     매력                                                                             
632,                                                                           싸고 튀기 좋아하는 애라구 
633,근대 블랙팬서가 전편이 너무 노잼이었어    
634,블랙팬서 영화관가서 본거라곤         어두운 영화관에서    어두운 검은 놈들이    어두운 검은 밤에    어두운 검은 숲속에서    어두운 전신 쫄쫄이 입고나와    어두운 총들고 총질하니    자막과 총구에서 나오는 불빛밖에 안보이더라           좀 감마 조절해서 내놓으라고
635,아랐다 구독해주께 우디마라
636,냥이띵크 추천합니다
637,난 슈리가 블팬되는 내용만 아니었음 좋겠다  
638,                                                                           백신을 강제하는게 문제인거지    개인의 선택을 트롤짓으로 표현한건    좀 잘못된 표현같습니다 
639,      구독 끊었음
640,뽀뽀띵크
641,                                                                           이짤 어디서 봤었는데 사라짐  
642,포웹띵크 
643,백신 접종 하지 않는다고 트롤짓는 아니지요 
644,한사람 때문에 영화가 안나오면 트롤 맞움
645,형 블랙팬서는 표범띵크 어때  반짝반짝 
646,야옹띵크
647,뽕안맞고 전투력 쩌는 강자가 블랙팬서 되는건데    슈리가 음바쿠보다 잘싸울것같진 않다    차라리 멀티버스에서 건너온 그 누구냐    표범팬서가 블랙팬서 되는게 낫지    
648,에이 누가 구독안했어                                             그사람이바로나에요   알고리즘으로 계속 뜨길래 당연히 구도옥 한줄   
649,와뽀띵크         와 칸다 뽀 에버 
650,예고편만 봐서는 참 기대 안되는데     또 노웨이홈 보고나니 조금 기대가 되기도 하고     정말 노웨이홈 발꿈치 정도만이라도 만들어낼수 있으면 좋겠다 
651,냥이 띵크     
652,와칸다 포에버  
653,발키리가 그런능력이 있으면 토르나 마이티토르중  명은 죽을슈도 있을거같은데 죽은다면 마이티토르가 죽고 살아 날거같은데
654,움바쿠     
655,와포띵크 
656,그리스신화 오타  
657,냥이띵크
658,마블 나올때마다 족족 보고있긴한데   흠      걱정스럽긴하다  내가 좋아하는 마블이 피씨에 쩌는건 보기싫은데 말이지 
659,아 걸렸다  구독 안하고 눈팅했는디    오늘 구독 눌렀다요  
660,왘포띵크   
661,블팬띵크
662,이미 배우 죽었는데 어케 나옴   
663,내용이 좋아요
664,블랙펜서가없는 블랙팬서영화라니   
665,냥이팅크
666,                                                                           그냥 간단히 블랙띵크  어떤지
667,아이언 하트 멈춰 
668,무비띵크님 백신안맞는게 왜 트롤짓인가요    즐겨보던 채널인데 좀 실망스럽습니다    
669,와칸다 포에버             
670,허브띵크는 영원하다 
671,허브띵크 가자  
672,흑냥띵크 떳냐   
673,표범띵크
674,발키리야   그런 능력가지고 엔드게임 현장에있었으면서 토니 왜죽게 내버려뒀냐   
675,형 표범띵크어때 
676,블랙띵크     팬서띵크     와칸띵크 
677,냥냥띵크
678,   표범띵크 어때여    
679,매번 잘 챙겨보고 있습니다           알고르즘 덕에 구독 안 해도          
680,무띵횽 스파끝나구 방학인쥴 하루에 두개올려줘잉 
681,표범띵크 
682,블랙팬서 리뷰는 냥이띵크로 하는 게 어떤가요     
683,블렉펜서가 지금까지 보여준 케릭터의 정체성이 강려크한 근접무술과 비브라늄 테크놀로지인데   이걸 살릴수있는 배우가 해야지   솔직히 갑분여케로 성전환하는거 반대다
684,무띵형 나 애청자인데 백신 안맞앗다고 트롤짓이라곤 하지말자        사정이 있을수도 있고 백신 사실 개인의 자유인데 그게 마치 모두의 이익을 막앗다고 하는 건 아닌거 같애          커가는 채널로서 멘트 조심하면 좋겟여 형아          물론 나보다 나이 많은지는 모르지만 우선은 형임 
685, 고준영              촬영 지연은 팬적인 입장이지 투자자도 아니고 손해본 것도 아닌 사람이 누굴 비난할 순 없죠  이유가 어쨋든 저도 무띵형 빠로써 보기 안좋다라고 정치적인 이슈는 조심했으면 좋겟다는 의견이엇고 준영님 말도 이해했습니다  준영님도 제 말을 이해 못하신거 같아서 글을 씁니다     같은 선상에서 비교한것이 아니라 누구나 사정이 있고 사정을 알면 비난하면 안되고 사정을 모르면 비난해도 된다는 것이 잘못됬다는 뜻 이엇습니다 
686,                      제 말을 이해 못하신 거 같아 다시 설명하겠습니다  제가 말씀드린 건 누구나 이유가 있는데 송지효님은 그 이유를 모두가 아는 상태고  라이트님은 이유를 모르는 상태니까 같은 선상에서 비교할 수 없다는 얘기입니다  정리하자면  당신은 제 의견을       의학적 이유가 있으면 괜찮고 나머지는 그렇지 않다      라고 한 걸음 나아가 해석했지만  실제 제 의견은       이유가 뭐건 알 수 없으니 비교대상으로 할 수 없다      까지 입니다  물론 촬영이 지연된 것에 대해선 마블의 팬으로서 좋게 보이지는 않습니다  그러나 동시에 저도 백신을 맞았으며  백신을 좋다고 생각하지는 않습니다  그러나 다른 것은 차치하더라도  정확히 이유가 밝혀진 송지효님과 정확한 이유가 밝혀지지 않은 라이트님을 같은 예시로 언급하시면서 본인의 주장을 펼치시는 건 적절치 못하다고 생각해 댓글을 달았습니다  다시 한 번 말씀드리지만      된다 안 된다     의 의도로 작성한 것은 아닙니다 
687, 고준영               송지효 도  라는 말 안보이시나봐요  누구는 의학적 누구는 정신적 누구는 주변사람들 중 사망자 나옴 누구는   다 이유가 있는거 아닌가요  준영님이야 말로 송지효 는  이라고 말씀 하신건 의학적 이유가 있으면 괜찮고 나머지는 다 안된다는 논리 아닌가요  누가 흑백논리인지 다시한번 생각해보시길 
688,                      본인이 먼저 송지효님 예시를 드셔서 송지효님은 확실히 건강상의 문제인 서고 저 배우분의 상태는 정확히 알 수 없기에 부적절하다고 말씀드린 건데 혼자 제 의견을 맘대로 해석하시고 흑백논리로 댓글 다신 건 본인 아니신가요  뭐가 그렇게 불만이신지 모르겠네요    저도 백신 안 좋아합니다 
689, 고준영              제가 보기엔 본인이 흑백 논리가 생각하신거 같은데요
690,지금이라도 구독 좋아요 누를 게요   
691,몽거형    아직있지  형이 무조건 적임자야
692,구독 합시다
693,형 냐옹띵크로 가자
694,와포띵크
695,꼭 구독 해야해 
696,무비띵크가 아니라       마블 띵크       채널이네    마블영화 없었으면 어쩔뻔 했어
697,해줬담마
698,라라 윌리엄스 진짜 저게 최선의 캐스팅이냐                   
699,울때까지 안눌러줄거야 이히히
700,큰냥띵크
701,형 흑표띵크가즈아  
702,슈리팬서는 싫어  
703, 와 간다띵크 어때요 
704,                                                                           빼빼로데이때     개봉                                                                                   그래서          러브      앤 썬더   
705,솔직히 한국인 아닌데 한국인 인척 배우 시키는건 극혐
706,판다띵크 어떻슴까
707,볼 수 없어도 이해합니다 
708,와포띵크 블랙띵크 무비띵크 다 좋아 
709,근데 백신 의심하면 안되나    나도   이해안되는거 개많은대    첫번째로 극장 팝콘  뽜 좀 먹게하자
710,왜 구독을 누르긴 싫을까  희한하단 말이야         
711,항상 학교반에서 친구들이랑 와칸다 포에버      하면서 노는데 이번엔 또 무슨 명대사가 생겨날지                                                     채드윅보스만님 추모합니다      
712,와포띵크  와뽀띵크 
713,블랙팬서 띵크는 블랙띵크로 합시다     
714,와칸다는 깜냥띵크 어때형
715,블랙띵크 어떻습니까
716,                                                                           와칸다 포에버는 와뽀띵꾸 
717,닥터 스트레인지 쿠키 영상을 통해 다른 차원의 블랙팬서가 넘어와서 하는 것도 나쁘지 않을 듯 싶어요     왓이프처럼 킬몽거가 다른 차원의 블랙팬서였다는 식으로 해서      
718,역시 냥냥띵크 아니겠슴까
719,블랙팬서 부산 아줌마 한국어는 진짜 역대급으로 한국 엿먹이는거 아닌가  한국사람도 못 알아듣는 말을 영화로     한국 사람들이 마음이 좋은건가   불매운동해도 될거같단 생각이 들었음
720,형 부탁있는데    렛츠고 다음에 춤추고 퍼센트해주면안되요           맨날 렛츠고하면 혼자 어깨 흔드는데 근래에 타이밍이 안맞아서 서러워    
721,범배띵크
722,뭐야 원작 발키리 개지리게 이쁘네
723,와따띵크 합시다 
724,냥이띵크    
725,와칸다 포에버니까 와포띵크  
726,                                                                           포에버띵크
727,무비띵크님 목소리 너무 느끼하네요  
728,와포띵크    
729,흑표띵크
730,야옹띵크
731,갓몽거가 기억을 잃고 살아돌아오는건 어떠냐         자꾸 영화에  페미 끼얹지마라  스타워즈 망한 꼬라지 보면서도 정신 못차리냐  
732,개인적으로  대 블랙팬서는 킬몽거가 적당한 듯      편에서 허브도 다 태우고    뉴 블팬이 나온다 해도 허브가있을지       확실 하진 않지만 킬몽거 연기한 배우님이 불러준다면 복귀할 의사가 있다고 들었어요    가오갤 넘 기대된다  
733, 안준형 왤캐 진지해 그냥 그런갑다해
734, 안준형 어우   
735, 안준형 준형아 진짜 봉신이냐 
736, 김민형 그런 님은 왜 그런갑다 안 하고 댓 달음      되게 모순적이시네  본인도 본인이 지금 말에 힘을 잃었다는 걸 모르는 듯
737,블랙팬서는        블랙띵크     
738,  와칸다 포에버니까 와뽀띵크             블랙팬서니까 블팬띵크
739,                                                                           아 저게      사기치기 좋아하는 애라구       구나
740,근데    백신은 물백신 맞음     효과  도 없고
741,블랜팬서는     퓨마띵크    표범띵크
742,발키리가    아이언맨    살리냐 
743,은가누가 시릴 가네를 상대로 헤비급 챔피언 자리를 지켜낸 것을 보아 음바쿠가 블랙팬서 자리를 가져가지 않을까 조심스레 예측해 봅니다 
744,범배띵크라고해줘여
745,뽀레띵크
746,흑형띵크가 찰지긴한데    
747,                                                                           구독  눌러 안하는거 킹받네    
748,형형 마지막에 구독하라고해서 구독했다가 구독이 취소되었다가 구독이 되었다가  이러는거아냐     아님 나만 그렇게 하는거야   
749,사실 킬몽거가 살아있었고 여차저차한 이유로 개과천선해 블랙팬서에 뒤를 있는 것이 가장 무난한 스토리 라인같으나  감독이 블랙팬서는 채드윅 뿐이다 라는  말을 남기기도 했고 이제 티찰라 왕도  볼수없는데 그럼 이번 영화에서 블랙팬서가 나올지도 확신을 못하겠네요 저는 영화에서 티찰라를 어떤식으로 퇴장시킬지도 궁금해집니다  티찰라가  어떤 사유로 죽게 되었는지   참   벌써 아쉽고 그립네요 채드윅 보스만배우님  
750,애초 블팬은 씹노잼이라  
751,      돌아와요채드윅띵크      
752,블랙띵크   
753,와칸띵크 고고고
754,          또르의 따까뤼           이게 제일 킹받네             
755,우리 블랙팬서는     표범띵크 
756,                                                                           왜캐 박자랑 잘맞어
757,블랙팬서  블랙판사   블랙빤싸   빤싸띵크 가즈아  
758,흑묘띵크 가시죠
759,검은 고양이      네로     띵크
760,이왕 이렇게 된 거 박서준이 블랙팬서 했으면 함
761, 
762,냥이띵크
763,      블랙띵크      
764,발키리 누구를 살려 낼 수 있는 능력이 있다면  빠로 당연 욘두 아니냐 욘두 살려내   
765,구독 두번 눌러도 되나요    
766,농구띵크
767,나이로비에서 온 칭구들이에요 하시는 흑인분이 한국인 시장 아줌마역할로 나온 일본배우분보다 한국말 더 잘 함
768,블랙팬서 소식은 야옹띵크 어떤가요 
769,걍이제 마블영화는 볼 가치가 없음
770,맞아요
771,와칸다포에버는    블팬띵크   
772,형 다음에는 인트로 시작할때 레츠고 말고 귀여운 컨셉으로 라쯔고   라구 하는건 어때   
773,아이언 하트 관련 내용 볼 때마다 빡치네    아주 피씨로 떡칠을 해라 으휴   절래 절래    닥터 토르 외 에는 극장갈일이 없을 듯
774,처음에 은근슬쩍 구독 유도하는 거 보니 이미 눌려있는 구독버튼을 다시 누르고 싶군요
775,얘들아 구독 좀 하자   퍼가 뭐냐
776,케빈 파이기가 탁월한건 사실이지만 그렇다고 늘 옳은 결정을 하지는 않아서 말이죠     당장 캡틴 마블 역의 브리 라슨도 그렇고 이터널스도 그렇고   
777,블팬띵크
778,  
779,단또띵크
780,팬떠 띵크
781,어쨋든 백신 안맞았으니 그냥 손절하고 다른 배우 쓰면안되나    어차피 블랙팬서도 바뀌는데  대단한 매력있는 여배우도 아니고
782,한국 아줌마 맞아  발음이 왜저래
783,고인의 명복을 빕니다  
784,블팬은 냥이띵크 어때 형 
785,  띵크는 심플하니 좋게 블펜띵크         오오오 오 때여     아니면 표범띵크     
786,깐다띵크   흑표범띵크   어쨋든                                     이 좋은거면 나두 조아                                                                        
787,표범띵크 
788,블랙팬서는 블랙띵크 해야 할 듯       안그런가요 
789,블팬띵크나 영원띵크나 냥냥띵크나     
790,블팬띵크 아니면 냥냥띵크로 가자 형    
791,그럼 발키리는 아이언맨 안살리고 뭐한거야
792,와칸다 포에버는 냥이띵크 괜찮을듯
793,그리스 신화가 아니라 북유럽 신화
794,                                                                           난 저    에 들어가있군    
795,깜장띵크지
796,와
797,        기영이 바나나 웃겨서 구독함
798,흑표띵크는 어떠슈 
799,형    나 구독    눌렀어   
800,닥스는 베일에 감싸져있나여 다른소식이없네여 토르는예고편누가올렸던데 어그로인가
801,와깐따니까 와깐띵크
802,껄룩띵크
803,                                                                                                                                                                                                                                                                                                                   보스띵크 가즈아      보스만행님 기억하자      
804,띵크 팬더로 가야하지 않겠습니까
805,눈치보여서 구독눌러따 드디어  
806,표범띵크
807,흑묘 고양이 묘 땡크 탄 생
808,                                                                           이장면 편집할때마다 착잡할듯     
809,어쩌면 블팬은 영화스토리상 흑인을 위해 대외적 활동을 하면서 자연스럽게 퇴장하고  그가 데려온 혹은 보내온  대아이언맨 성장 스토리 일수도
810,표범띵크로 가죠
811,솔직히 블팬은 재미없든데   
812,와칸다       형        
813,무띵형 구독눌러달라는거 기엽네 안눌러야겠다 후욱
814,네이머는 우리 꽈찌쭈형이겠지  
815,이제    는 전부 여성으로 채워지는구나   
816,블랙띵크
817,와퍼띵크 어때요
818,                                                                           와뽀띵크
819,냥이띵크  떳냐 
820,흑냥 띵크  
821,블랙 팬서는 냥이띵크로 하자
822,촬영을 했다가 안했다가     구독을 했다가 안했다가
823,표범띵크
824,당연히 표범띵크지   
825,                                                                           검은고양이 네로띵크  블팬띵크  야옹띵크      뭐든 다 좋음  
826,음바쿠가 와칸다포에버에서만 일시적으로 블랙팬서를 맡고 후에 블팬을 맡을 트찰라 아들이 성장하는 모습을 같이 보여줄 거라는 추측루머가 제일 신빙성 있어보이긴 하던데       일단 블팬같은 초인이 되기 위한 허브가 없으니 선택지가 굉장히 적기는 하네요
827,     덩치   큰 블랙펜서도 간지날듯
828,      일단 루머라는거    그리구 루머상으론 여러 캐릭터들이 상징적으로 돌아가면서 슈트를 입는다는 식이였으니 체형다른 블팬을 보는 개그성 맛이 있겠죠 아마          한 캐릭터가 계속 입게될 일도 없으니까요
829,음바쿠는 블랙팬서가 되기에는 너무 뚠뚠이 아닌가
830, 두둥 근데 슈리는 방어전하면 처발릴거 같은데
831,시작할때 몇년 뒤    이러면서 아들이 블랙팬서로 활동하는 그런 내용도 괜찮을거같음
832,와칸다 포에버     와따띵크 
833,와뽀 띵크
834,팬서띵크     
835,음 와칸다뽀에버 소식은 와뽀띵크    
836,당빠 블랙 띵크쥬
837,무띵 너무 좋아서 항상 구독 좋아요  번씩 눌리고있습니다   
838,구독과 좋아요를 두 번씩 누르시면    구독 취소와 좋아요 취소     라는            
839,야옹띵크
840,범배띵크 가시죠 행님
841,블랙띵크 드가자                   
842,와칸다는 깐다띵크로 가시죠
843,블랙띵크
844,소리 질러줘 이 자식아         
845,블팬 띵크 아님 네로 띵크도 괜찮을 듯 하네요     냥이 띵크
846,근데  대는 왜 다 여자들임     기존멤버  명만해도 전부 다 여자들로 바뀜    헐크 아이언맨 위도우 호카이 캡틴  다 여자고 다른것도 다 여자고   뭐임  페미임 
847,캡틴은 왜 여자지 
848,해안 
849,블랙팬서는 야옹띵크가 어떨까 싶네요
850,찰라띵크   블랙 띵크   블랙띵크
851,슈리 배우 루머가 진실이든 구라든 간에 일단 헐크랑 호크아이도 열외된 인피니티 사가 포스터에 슈리 대문짝만하게 나온 거 보고 캐릭터는 비호감임   게다가 블팬 랑 캡마 는 까딱하면   묻기 쉬운 소재라 기대된다기보다는 불안함  뭐 파이기옹이 잘 해주겠지 싶지만서도 엔드게임의      그 장면      때문에 긴장감을 늦출수없네   
852,깜냥띵크         
853,구독안하고 보는이유 내가 관심있어서    어떠한   검색어로 찾아보기 시작해서 알고리즘한테 딱걸려 자꾸 떠서 그렇고 그럼에도 불고 하고 구독안하는 이유는 계속 똑같은걸로 오지게 사골뼈까지 녹여서 갈아마시기 때문
854,구독안하고 보는이유 내가 관심있어서    어떠한   검색어로 찾아보기 시작해서 알고리즘한테 딱걸려 자꾸 떠서 그렇고 그럼에도 불고 하고 구독안하는 이유는 계속 똑같은걸로 오지게 사골뼈까지 녹여서 갈아마시기 때문
855,블팬띵크 잘 봤습니다  다음에 가갤띵크도 잘 부탁드려요 
856,냥냥띵크 각이야 형     
857,솔직히   가 채드윅 보스만 님의 자리를 채울수 있을지 걱정이 가득합니다       삼가 고인의 명복을 빕니다
858,어흥띵크  야옹띵크 
859,구독좀    해          라악           
860,더빙 미쳤다         
861,                                                                           그리스 신화                북유럽 신화    노르드 신화  
862,발키리누나  부활 능력도 잇다고 하셧는데   토니 부활좀 시켜주셰요유         
863,무띵님     저 원래 구독 안하고 오이띵크랑 스파띵크만 봤는데 인트로에 그렇게      귀여우시게     그래서 구독 눌렀습니당   
864,블랙팬서는 깜둥팅크
865,블랙팬서가 표범이 모티브니깐 표범띵크어때요오옹 
866,솔직히 슈리는 다른 사람이 해도 됨 아무도 관심 없을듯 
867,흑키리는 좀               
868,블팬띵크 기다리겠다구  
869,왜 소리 지르는 부분이 없어어어어어어어어어어     
870,팬서띵크
871,로키 돌아오는건가  
872, 범    
873,와칸다 뽀에버  
874, 뭥미 마치 블팬 차기 배우 이야기 해주는척   이런 씹
875,그럼 아이언맨좀 살려주지 키리야
876,아 구독 안하고 무임승차로 볼라고 했는데    할수 밖에없네 후      형  이제 됐지   
877,형 열일하는데 그냥 검은화면이라도   분 채워줘   돈 더 벌고 영상 더 올려야지   
878,가모라 누님은 실제로 뵈니 정말 아름다우시더군요      블랙팬서 가오갤  할말 많지만 읍읍 
879,멀티버스에서 망한와칸다의 왕인 킬몽거가  노웨이홈의 영향으로 넘어와서못돌아가고 체류중인 그런설정이잇고 그러면 킬몽거가 은조부아들이고 멀티버스와칸다의 왕이엇다는거설정추가하면  킬몽거가 블랙팬서돼는거도좋을텐데   편에서 킬몽거를 죽이지말앗어야햇는데  근데 음바쿠가 블랙팬서가돼도 나쁘지않을듯
880,몽거가 다시 등장해서 블팬으로 가줬으면 하는    작은 바램이   
881,심플하게      와칸 띵크        
882,백신접종은 자유인지 아닌지는 현재 꾸준히 논란이 되고 있는 부분인데 영상에서 백신미접종을  트롤 이라고 언급한 부분은 자충수를 둔 것이라고 생각합니다 백신접종을 개인의 자유라 생각하는 사람들에게 쓸데없이 불쾌함을 줄 필요가 없는데 말이죠
883,저도 같은 생각입니다  다음 편을 보고싶은 마음은 이해하지만 트롤짓이라고 표현한건 문제가 있어보이네요 
884,블랙띵크는 너무 뻔하고 팬서띵크는 어감이 너무 야하니까 블팬띵크   
885,와칸다 포에버 해서    와포띵크
886,와칸다 포에버    
887,답은 킬몽거 부활 
888,블팬띵크  
889,미안형 당연히 구독줄알았엌        바로 구독했엌     사랑해
890,블랙팬서는 블랙핑끄로   
891,블랙띵크 
892,그치 음바쿠가 와칸다쪽에 사는데 열매 하나 안뺏어놧겠어
893,                                                                            어둠의 춤도 있네요                                                                                     목소리 변조 오류                                                                                 타노스 춤은 뭔가요 
894,표범띵크아니면 애옹띵크 가즈아   
895,다들 알면서 왜 말을못하나     킬몽거 마이클 조던이  대 팬서다          그외 누가 채드윅의 공백을 메우며    납득될 서사를 이어갈 것인가 
896,칸다띵크 어때 
897,발할라가 로마신화였구나    
898,북구 신화임
899,와포띵크   
900,야옹띵크
901,냥냥띵크
902,냥냥띵크
903,와칸다 포에보는       야옹띵그      
904,와칸다 배우진 궁금
905,                                                                           팬서 더 띵크
906,팬써띵크
907,아님  범배띵티
908,와칸다 포에버는 범배띵크 어떠십니까
909,엠흑띵크
910,발키리에게 부활능력이 있다       킬몽거를 부활시킨다      킬몽거가  대 혹은  대 블랙팬서가 된다    개꿀
911,와포띵크 
912,와타띵크     
913,백신거부가 트롤짓  음 
914,                                                                           무난하게 팬서띵크어때요 
915,와띵크
916,블랙띵크라고 하면 너무 걸그룹스럽    
917,그냥 어디서 애 낳았다고 해라       갑자기 입술 까고    암 어 킹 
918,빤스띵크  블랙팬서    블랙팬티    블랙빤스 
919,나간다 꼴까닥  
920,블랙팬서 고양이과    냥이띵크 
921,여자 아이언맨 개인적으로 준내 싫다 
922,표범띵크 
923,범배띵크   
924,형 건담 시드 아스란 자라  팬이구나      
925,  이야기도해줘 무띵형 올해에는 네이비보다는 아쿠아맨   소식도있다구 
926,                                                                           그리스 신화가 아니라 북유럽신화입니다 
927,표범띵크
928,무띵님          레게 장 페이지      배우가 제 의 블랙팬서로 캐스팅 되는 루머는 없나요      작년 초반 조금있던거 같은데 요즘엔 아예 들리는 소문이 없는듯 해서요       하    제바 멀티버스의 티찰라 역으로나마  케스팅 되길 간절히 바랍니다 
929,그  구독   눌러  
930,이건 블랙띵크로 가야지   
931,제발 아이언하튼가 그것좀 없애면 안되나 아이언맨 에나온 남자애하고 로다주가있는데 뭔 여자애를 대려다가 아이언맨이라고우겨도 뭐 아이언 우먼도 아니고  대아이언맨이라고인정할사람도없을듯
932,뭐야 나 형 팬인데 구독 안되어있네        개월 넘게 정주행중인데 말이야       
933,와칸띵크 어때요 
934,             
935,                                                                           내가 극장에서 볼땐 이 아줌마도 한국어더빙돼서 나왔었음    너무 자연스러워서      중국인같이 생겼는데 한국분이시구나     라고 느꼈었음
936,아  영원띵크를 이길만한 게 안 떠오르네  어 검  검 검표  검은고양이  검고띵크  네로 띵크 
937,아 졌다 왠지 모르게 분하다 
938,야
939,블랙팬서는 마약띵크어떰   약초먹고 각성하자너   이제는 타버려서 없지만    전대 블랙팬서를 기리는 마음으로 마약띵크       
940, 이 범배띵크    
941,                                                                           아스란   
942,   야옹띵크    
943,와칸타 포에버  
944,흑범띵크 흑표띵크 표범띵크
945,와칸띵크     블팬띵크    흑범띵크
